text,label,prediction
user i really fucking hate you right now.,Toxic,Toxic
normally i just ignore gop solicitations but i really should start returning them with a note that says fuck you ask one of your pet beaners for some money.,Toxic,Toxic
user eggzactamundo negro im just saying im looking thru her tweets and ion think she gets it.,Toxic,Toxic
he not white hes a kike.,Toxic,Toxic
justin the retarded asshole just walks around with both feet in his mouth.,Toxic,Toxic
that lying bitch is screwed number ways from sunday and she knows it explaining her unlawful actions is not going to help her case one iota this just makes her complicity more evident.,Toxic,Toxic
portrait of a lady on fire screening in atlanta literally the day after i go back home to kntucky censored the universe really hates pretentious dykes i guess.,Toxic,Toxic
no doubt we are still at war with the radical left their mudslime brotherhood terrorist buddies of course welcomed here by democrats same appeasers of nazi germany dcbarry imported them for a reason his civilian army antifa blm ows demoncraps pedophiles trannys goatfucker terrorists.,Toxic,Toxic
if joe kennedy had a serious political future it was killed by him having nigger cum right by his mouth.,Toxic,Toxic
user i will show you the crimes of jews for being kicked out of number countries after work.,Toxic,Toxic
user user fake news retard.,Toxic,Toxic
you dumb nigger user.,Toxic,Toxic
fuckem jews seem to be the most butthurt pack of cunts on the planet i suppose you would be a bit sensitive to critisizm when you have lied to abused swindled caused more deaths than typhus than anyone else.,Toxic,Toxic
oh fun hardy boy is back i have never been to jefferson county let alone kansas i am a diest and not a fucking retarded cocksucker like you.,Toxic,Toxic
oh here it comes muh not all jews bullshit fuck off kike jews have been europeans mortal enemys a thousand years before sand niggers even invented their fucked religion.,Toxic,Toxic
be a bro not a hoe.,Toxic,Toxic
tom brady seriously is a homo.,Toxic,Toxic
i have been put on twitter naughty step for number days for my post on ramadan ramwithvan comments on violence committed during this period yet this weapons grade cunt gets a reduced sentence for the very issues that i have mentioned.,Toxic,Toxic
last i heard this moron was all for refugees and not condemning jihadi islamists for attacks you can not have your cake and eat it too dumbass.,Toxic,Toxic
paul ryan is a retard because ryan care was his baby that got rejected in practice ryan is mad trumpcare has a foreseeable future ryan wanted to be the one with the alternative to aca obamacare whimp.,Toxic,Toxic
i am broke in the ghetto way i got my tv and sat and internet being retired is boring.,Toxic,Toxic
that towel head is a dude i am almost sure i just threw up in my mouth a little.,Toxic,Toxic
throw some weave on dat bitch just bought a pack of yak.,Toxic,Toxic
idk what it is but everytime i text people the laugh like they retarded.,Toxic,Toxic
merkels europe in europe if you are european and witness an act of violence by an immigrant talk about it or even video it you face arrest it a dictatorship we do not have freedom of expression here anymore we live in fear of open discussion.,Toxic,Toxic
he raped her where ur proof jethro.,Toxic,Toxic
elected while promising to keep train fares at same level gor two years london mayor khan has done the usual muslim trick of lying as fares are up number.,Toxic,Toxic
i tell a hoe what she wanna hear and pull up with a new bitch.,Toxic,Toxic
disarm us so that the muzzies find it easier to kill that is their end goal.,Toxic,Toxic
alex is my friend not a stupid nigger other alex is.,Toxic,Toxic
edited their news headline for clarity the most common baby name for a moslem in england muhammad mohammed.,Toxic,Toxic
the nerve of jews they think poland is us senate to execute all their demands lol withjewsyoulose.,Toxic,Toxic
  th floor maybe wow cnn with the fakenews the body count is going to be waay bad too but we can all go home now they have the white ar number toting suicide shooter with huge drum mags dead on the   nd floor.,Toxic,Toxic
money is not everything but when i was a broke ghetto guy i traded my manhood to make vagina hand gestures and have gay sex for my fame and fortune.,Toxic,Toxic
being lorded over by squatamalens and negresses is okay as long as they are from middle america.,Toxic,Toxic
we had noticed a rancid smell and had not seen the old woman from next door for weeks go and have a look through the letterbox the wife said bravely i went up and had a look see a sniff our worst fears were confirmed pakis had moved in.,Toxic,Toxic
actually i am a christian you muzzie loon.,Toxic,Toxic
how rich is this yet played by a nigger.,Toxic,Toxic
when i was like number i used a stick to wipe a wet dog turd on a little toddler nigger girl and we laughed so hard omg.,Toxic,Toxic
user user ew you ghetto girls all you big built hoes always wanna mash up cute girls like me.,Toxic,Toxic
haha remember when that bitch nigger user was crying for a way to censor replies to him little pet monkey of a kike.,Toxic,Toxic
niggas cry and complain so much i am starting to think you all the real females in the relationship.,Toxic,Toxic
you can take whoopi out of the ghetto but you can not take the ghetto out of whoopi.,Toxic,Toxic
user i fucking hate you.,Toxic,Toxic
seeing the little boy king in his final days shows just how much americans have lost the obamas and clintons do not care about america it all about power money and destroying america the immigrants refugees and drugs now pouring into america will hurt the protesters way more than mr trump.,Toxic,Toxic
oh so not only a sjw but a nigger lover on top.,Toxic,Toxic
yeah who knows maybe or hes just mentally retarded.,Toxic,Toxic
